Стать.1,Розріз.1,2016,2020,change_uah,change_pct
Жінки,25-34 років,4375.0,10272.0,5897.0,134.78857142857143
Жінки,35-44 років,4547.0,11267.0,6720.0,147.78975148449527
Жінки,45-54 років,4220.0,10121.0,5901.0,139.83412322274881
Жінки,55-59 років,4219.0,9459.0,5240.0,124.20004740459825
Жінки,60-64 роки,3808.0,9216.0,5408.0,142.01680672268907
Жінки,65 років і старші,3659.0,8177.0,4518.0,123.4763596611096
Жінки,До 25 років,2937.0,6958.0,4021.0,136.90840994211783
Чоловіки,25-34 років,5770.0,12770.0,7000.0,121.31715771230502
Чоловіки,35-44 років,6284.0,13606.0,7322.0,116.5181413112667
Чоловіки,45-54 років,5326.0,12055.0,6729.0,126.34247089748405
Чоловіки,55-59 років,5006.0,10522.0,5516.0,110.18777467039553
Чоловіки,60-64 роки,4811.0,10301.0,5490.0,114.11348991893577
Чоловіки,65 років і старші,4710.0,9946.0,5236.0,111.16772823779193
Чоловіки,До 25 років,3828.0,8817.0,4989.0,130.32915360501568
